ID,Type,LAT,LONG
582f39c5b62f,1,turtle,70.8719111111111,-55.51813611111111
582f39c5b62f,1,yoke,45.03741111111111,149.12629166666665 
72c63a53b890,2,turtle,-45.12437222222222,-126.05204444444443
72c63a53b890,2,yoke,-26.820630555555557,67.90393055555555 
8b1d65e4ff99,3,turtle,33.485527777777776,-142.05349444444445
8b1d65e4ff99,3,yoke,86.57996388888888,124.23269166666667 
cff24e0558e7,4,turtle,-40.64623888888889,-99.97253888888889
cff24e0558e7,4,yoke,-57.91493888888889,156.12306666666666 
2cff22ab4087,5,turtle,-13.457041666666667,63.77984166666666
2cff22ab4087,5,yoke,72.69482222222221,17.66768888888889 
ca028487efc8,6,turtle,88.0301638888889,82.20219722222222
ca028487efc8,6,yoke,84.84793888888889,107.52125555555556 
af79354ba7f7,7,turtle,61.36061111111111,-80.023725
af79354ba7f7,7,yoke,-15.686169444444445,43.74642777777778 
c3673ba5f626,8,turtle,-40.349938888888886,-107.94856388888888
c3673ba5f626,8,yoke,80.15386111111111,46.892691666666664 
4f17d7f0328e,9,turtle,-45.21625277777778,41.05720833333333
4f17d7f0328e,9,yoke,-7.912433333333334,175.09140833333333 
13b3670af367,10,turtle,9.562577777777777,98.07058888888889
13b3670af367,10,yoke,28.155458333333332,-78.67744444444445 
1b2102ac75e6,11,turtle,-4.311483333333333,84.25124722222223
1b2102ac75e6,11,yoke,-57.65401388888889,163.99485277777777 
cae364f7b938,12,turtle,61.27597777777778,163.94021111111113
cae364f7b938,12,yoke,-5.938744444444444,-134.60032777777778 
bd7e26cfc97b,13,turtle,-1.03615,152.38110833333334
bd7e26cfc97b,13,yoke,81.31664166666667,48.018927777777776 
0fba55ee1b5d,14,turtle,-48.12841944444445,122.27950277777778
0fba55ee1b5d,14,yoke,-55.70884166666667,109.82783333333333 
e9f3ef197408,15,turtle,-41.541758333333334,8.644694444444445
e9f3ef197408,15,yoke,-3.671497222222222,-154.6232277777778 
49663fe11eba,16,turtle,12.587811111111112,50.08764166666667
49663fe11eba,16,yoke,-36.956022222222224,17.324361111111113 
e8697d4115aa,17,turtle,-3.521875,-92.29903333333334
e8697d4115aa,17,yoke,-22.603963888888888,-8.278716666666666 
afede21e7cfe,18,turtle,62.95858888888888,-28.088936111111114
afede21e7cfe,18,yoke,-74.0255638888889,-112.72320277777777 
91aec9f73d00,19,turtle,-39.65497222222222,0.7668333333333334
91aec9f73d00,19,yoke,-51.49035277777778,7.280133333333333 
b9b5967413d0,20,turtle,-64.76135,113.38327777777778
b9b5967413d0,20,yoke,-28.32536111111111,-15.262305555555555 
3f0b008a2e25,21,turtle,81.76414166666666,72.88235555555555
3f0b008a2e25,21,yoke,21.57583888888889,122.54641388888889 
64288ba9bfd0,22,turtle,83.31361666666668,-79.19019166666666
64288ba9bfd0,22,yoke,-24.47245,-95.79056388888888 
db2631f19dab,23,turtle,-19.972822222222224,91.97012777777778
db2631f19dab,23,yoke,-40.99016666666667,-155.4706138888889 
12145c37e671,24,turtle,40.36620277777778,155.82
12145c37e671,24,yoke,78.67810833333333,60.56818333333333 
9a93a64733b4,25,turtle,38.509100000000004,-167.92774722222222
9a93a64733b4,25,yoke,22.16491388888889,-111.59081111111111 
fac0fa1f52b9,26,turtle,21.223169444444444,-45.12460833333333
fac0fa1f52b9,26,yoke,49.76597222222222,-138.804875 
d5c2a541d4b5,27,turtle,-20.07987222222222,-111.32907499999999
d5c2a541d4b5,27,yoke,14.022936111111111,-141.93474166666667 
bc114f358ffc,28,turtle,-40.412127777777776,136.01823888888887
bc114f358ffc,28,yoke,-40.11217499999999,91.709925 
9036b33ca1ba,29,turtle,22.254383333333333,-63.80473611111112
9036b33ca1ba,29,yoke,73.67789722222223,-169.2326138888889 
da0045ec6f0f,30,turtle,-41.318444444444445,-30.946955555555554
da0045ec6f0f,30,yoke,-34.375655555555554,-43.99259444444444 
fd6f2b71330c,31,turtle,14.07405,174.90318055555556
fd6f2b71330c,31,yoke,-28.485647222222223,108.18315000000001 
d4f182eb4639,32,turtle,-19.483486111111112,-14.729283333333333
d4f182eb4639,32,yoke,70.69819166666667,-14.445725 
562f7d2e1cf8,33,turtle,21.23621388888889,128.3657472222222
562f7d2e1cf8,33,yoke,57.560652777777776,175.71172777777778 
6f2634572450,34,turtle,-61.232302777777775,-126.01074444444444
6f2634572450,34,yoke,-46.729416666666665,133.1044916666667 
7d88e9c2f49e,35,turtle,26.561230555555557,-70.862
7d88e9c2f49e,35,yoke,-10.637908333333334,130.23495277777778 
768d99b69d61,36,turtle,-50.30578888888889,-99.44129444444444
768d99b69d61,36,yoke,76.22794166666667,-11.60282777777778 
f3deed9256f0,37,turtle,49.46176666666666,-22.749505555555555
f3deed9256f0,37,yoke,5.340725000000001,126.78619722222223 
9e7ffaa86399,38,turtle,-22.118380555555557,-141.19613611111112
9e7ffaa86399,38,yoke,-36.24627777777778,-56.418575000000004 
345d4258222e,39,turtle,15.424622222222222,109.302725
345d4258222e,39,yoke,-67.17041111111111,-96.56335555555555 
beadaa148ecd,40,turtle,-81.19066111111111,-48.93450277777778
beadaa148ecd,40,yoke,-22.65726666666667,95.78077777777777 
8822f2ce0493,41,turtle,-10.403780555555556,-123.13162222222222
8822f2ce0493,41,yoke,0.9180666666666666,-117.23281666666666 
9144fe2e1ffb,42,turtle,-33.85733333333333,-46.94345
9144fe2e1ffb,42,yoke,82.34860555555555,35.977738888888894 
c40aa47343a1,43,turtle,-35.39818611111111,175.34123611111113
c40aa47343a1,43,yoke,-7.870269444444445,91.5350861111111 
1e32338c3a83,44,turtle,-25.335719444444443,-93.48808333333334
1e32338c3a83,44,yoke,17.677347222222224,-156.65616666666668 
6999d088be3b,45,turtle,9.919158333333332,-135.6022166666667
6999d088be3b,45,yoke,-53.282983333333334,-116.44617222222223 
1cefb9e216f0,46,turtle,-26.45607222222222,81.96491666666667
1cefb9e216f0,46,yoke,39.10634722222222,167.69170833333334 
5c2b6b931fa6,47,turtle,-65.76652222222222,84.38551388888888
5c2b6b931fa6,47,yoke,18.171830555555555,-55.032580555555555 
7f0816ba140d,48,turtle,83.92336388888889,-8.856702777777778
7f0816ba140d,48,yoke,-66.11070555555555,-78.49817777777777 
32387dcdee56,49,turtle,-25.988105555555556,-118.65735277777779
32387dcdee56,49,yoke,3.9463416666666666,-4.920266666666667 
e475d19b99a1,50,turtle,16.86948611111111,-65.95186111111111
e475d19b99a1,50,yoke,-52.85089722222222,-89.82128888888889 
f2beff9f243d,51,turtle,-35.08165833333334,-167.44521666666665
f2beff9f243d,51,yoke,83.0588638888889,120.43666944444445 
46685b6b71c3,52,turtle,80.43953333333333,148.30153611111112
46685b6b71c3,52,yoke,23.346305555555553,-57.170605555555554 
7aff31948273,53,turtle,34.39799166666667,-14.173680555555555
7aff31948273,53,yoke,-38.77151666666666,-32.759005555555554 
